,ESMS,ESPA,ESSA,ESGG,ESOH,ESMT,ESUT,ESGJ,ESMQ,ESKK,ESOK,ESNQ,ESMV,ESNA,ESNC
ESMS,0,0.0,0.0,422.40000000000003,38.400000000000006,230.4,0,230.4,192.00000000000003,115.2,115.20000000000002,0.0,153.60000000000002,0,0
ESPA,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
ESSA,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ESGG,422.40000000000003,0.0,0.0,0,0.0,230.4,0,0.0,0.0,0.0,76.80000000000001,0.0,115.2,0,0
ESOH,38.400000000000006,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,38.400000000000006,0,0.0,0,0
ESMT,230.4,0.0,0.0,192.0,0.0,0,0,0.0,38.400000000000006,0.0,0.0,0.0,0.0,0,0
ESUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESGJ,230.4,0.0,0.0,0.0,0.0,0.0,0,0,115.2,115.2,0.0,0.0,0.0,0,0
ESMQ,192.00000000000003,0.0,0.0,38.400000000000006,0.0,0.0,0,115.2,0,0.0,0.0,0.0,38.400000000000006,0,0
ESKK,115.2,0,0.0,0.0,0.0,0.0,0,115.2,0.0,0,0.0,0,0.0,0,0
ESOK,115.20000000000002,0.0,0.0,76.80000000000001,38.400000000000006,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0
ESNQ,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0
ESMV,153.60000000000002,0.0,0.0,115.2,0.0,0.0,0,0.0,38.400000000000006,0.0,0.0,0.0,0,0,0
ESNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
