,ESMS,ESPA,ESSA,ESGG,ESOH,ESMT,ESUT,ESGJ,ESMQ,ESKK,ESOK,ESNQ,ESMV,ESNA,ESNC
ESMS,0,83,413,405,75,235,16,231,192,133,127,53,153,33,21
ESPA,83,0,157,111,27,53,10,65,51,46,43,35,40,17,9
ESSA,413,157,0,570,148,269,30,351,273,268,236,96,211,64,41
ESGG,405,111,570,0,113,313,22,374,232,203,198,70,225,45,29
ESOH,75,27,148,113,0,50,6,66,47,59,62,17,39,12,8
ESMT,235,53,269,313,50,0,11,169,120,90,86,33,114,21,13
ESUT,16,10,30,22,6,11,0,13,10,9,9,6,8,4,2
ESGJ,231,65,351,374,66,169,13,0,149,125,116,41,163,26,17
ESMQ,192,51,273,232,47,120,10,149,0,85,78,32,97,20,13
ESKK,133,46,268,203,59,90,9,125,85,0,105,29,72,19,13
ESOK,127,43,236,198,62,86,9,116,78,105,0,27,67,18,12
ESNQ,53,35,96,70,17,33,6,41,32,29,27,0,25,11,6
ESMV,153,40,211,225,39,114,8,163,97,72,67,25,0,16,10
ESNA,33,17,64,45,12,21,4,26,20,19,18,11,16,0,5
ESNC,21,9,41,29,8,13,2,17,13,13,12,6,10,5,0
