,ESMS,ESPA,ESSA,ESGG,ESOH,ESMT,ESUT,ESGJ,ESMQ,ESKK,ESOK,ESNQ,ESMV,ESNA,ESNC
ESMS,0,0.0,0.0,405.0,38.0,233.0,0.0,230.0,191.0,115.0,127.0,0.0,153.0,0.0,0.0
ESPA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESSA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESGG,405.0,0.0,0.0,0,0.0,227.0,0.0,0.0,0.0,0.0,63.0,0.0,115.0,0.0,0.0
ESOH,38.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
ESMT,233.0,0.0,0.0,189.0,0.0,0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
ESUT,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESGJ,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0,115.0,115.0,0.0,0.0,0.0,0.0,0.0
ESMQ,191.0,0.0,0.0,38.0,0.0,0.0,0.0,115.0,0,0.0,0.0,0.0,38.0,0.0,0.0
ESKK,115.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ESOK,127.0,0.0,0.0,63.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ESNQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ESMV,153.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0,0.0,0.0
ESNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ESNC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
