,ESMS,ESPA,ESSA,ESGG,ESOH,ESMT,ESUT,ESGJ,ESMQ,ESKK,ESOK,ESNQ,ESMV,ESNA,ESNC
ESMS,0,0,392,396,72,216,0,216,180,108,108,0,144,0,0
ESPA,0,0,112,0,0,0,0,56,0,0,0,36,0,0,0
ESSA,392,112,0,560,144,260,0,344,272,252,236,56,200,0,0
ESGG,396,0,560,0,108,288,0,360,216,180,180,0,216,0,0
ESOH,72,0,144,108,0,36,0,36,36,36,36,0,36,0,0
ESMT,216,0,260,288,36,0,0,144,108,72,72,0,108,0,0
ESUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESGJ,216,56,344,360,36,144,0,0,144,108,108,0,144,0,0
ESMQ,180,0,272,216,36,108,0,144,0,72,72,0,72,0,0
ESKK,108,0,252,180,36,72,0,108,72,0,108,0,72,0,0
ESOK,108,0,236,180,36,72,0,108,72,108,0,0,36,0,0
ESNQ,0,36,56,0,0,0,0,0,0,0,0,0,0,0,0
ESMV,144,0,200,216,36,108,0,144,72,72,36,0,0,0,0
ESNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
